    8    8 -20000.00 -20000.00
    8    9      3.40 -20000.00
    8   10     10.52     13.92
    8   11      2.89     13.42
    8   12      8.06     10.95
    8   13      2.44     10.50
    8   14      5.86      8.30
    8   15      0.76      6.62
    8   16      3.65      4.41
    8   17     -0.72      2.93
    8   18      2.25      1.53
    8   19     -1.76      0.49
    8   20      0.92     -0.84
    8   21     -3.22     -2.30
    8   22      0.27     -2.95
    8   23     -1.40     -1.13
    8   24     -0.95     -2.35
    8   25     -5.24     -6.19
    8   26     -1.00     -6.24
    9    8 -20000.00 -20000.00
    9    9      8.77 -20000.00
    9   10     12.36     21.13
    9   11      4.89     17.25
    9   12      8.85     13.74
    9   13      4.31     13.16
    9   14      6.91     11.23
    9   15      2.98      9.90
    9   16      4.59      7.57
    9   17      0.94      5.52
    9   18      3.02      3.96
    9   19     -0.15      2.87
    9   20      1.41      1.26
    9   21     -1.37      0.04
    9   22      3.84      2.46
    9   23     -1.76      2.08
    9   24     -0.57     -2.32
    9   25     -3.69     -4.26
    9   26     -1.26     -4.95
    9   27     -2.81     -4.07
    9   28      1.83     -0.98
    9   29     -6.20     -4.37
   10    8 -20000.00 -20000.00
   10    9     10.81 -20000.00
   10   10     16.26     27.07
   10   11      6.22     22.48
   10   12     10.89     17.11
   10   13      4.39     15.28
   10   14      9.04     13.43
   10   15      3.07     12.11
   10   16      6.07      9.14
   10   17      1.84      7.91
   10   18      5.30      7.14
   10   19      0.26      5.56
   10   20      3.46      3.72
   10   21      1.39      4.85
   10   22      3.88      5.27
   10   23     -1.57      2.31
   10   24      1.47     -0.10
   10   25     -3.22     -1.75
   10   26      0.14     -3.08
   10   27     -2.74     -2.60
   10   28      2.81      0.08
   10   29     -5.94     -3.12
   10   30     -0.89     -6.83
   10   31     -3.04     -3.93
   11    8 -20000.00 -20000.00
   11    9     13.38 -20000.00
   11   10     17.06     30.44
   11   11     10.17     27.24
   11   12     12.97     23.14
   11   13      5.68     18.65
   11   14      9.61     15.29
   11   15      4.99     14.60
   11   16      7.36     12.35
   11   17      3.63     10.99
   11   18      4.86      8.49
   11   19      2.34      7.20
   11   20      4.03      6.37
   11   21      1.88      5.91
   11   22      3.38      5.26
   11   23      1.21      4.59
   11   24      1.88      3.08
   11   25     -1.12      0.76
   11   26      1.05     -0.07
   11   27     -0.96      0.08
   11   28      0.74     -0.23
   11   29     -3.29     -2.56
   11   30     -0.30     -3.59
   11   31     -2.57     -2.87
   11   32     -0.49     -3.06
   11   33     -2.99     -3.47
   12    8 -20000.00 -20000.00
   12    9     14.28 -20000.00
   12   10     19.43     33.71
   12   11     12.41     31.84
   12   12     16.32     28.73
   12   13      6.51     22.83
   12   14     11.94     18.45
   12   15      4.22     16.16
   12   16     10.03     14.25
   12   17      2.91     12.94
   12   18      7.88     10.79
   12   19      2.48     10.36
   12   20      5.94      8.42
   12   21      1.29      7.24
   12   22      5.53      6.83
   12   23      1.04      6.58
   12   24      3.84      4.88
   12   25     -0.33      3.51
   12   26      2.88      2.56
   12   27     -0.31      2.58
   12   28      3.77      3.47
   12   29     -4.69     -0.92
   12   30      0.73     -3.96
   12   31     -2.68     -1.95
   12   32      6.29      3.61
   12   33     -9.24     -2.95
   12   34      2.34     -6.90
   12   35     -6.36     -4.02
   13    8 -20000.00 -20000.00
   13    9     16.51 -20000.00
   13   10     19.67     36.18
   13   11     14.11     33.78
   13   12     16.92     31.04
   13   13     10.39     27.31
   13   14     14.20     24.59
   13   15      6.65     20.86
   13   16      9.03     15.68
   13   17      6.11     15.14
   13   18      8.00     14.11
   13   19      4.43     12.43
   13   20      6.39     10.81
   13   21      3.21      9.59
   13   22      5.40      8.61
   13   23      2.15      7.55
   13   24      4.16      6.31
   13   25      1.19      5.35
   13   26      3.19      4.38
   13   27     -0.02      3.17
   13   28      5.79      5.77
   13   29     -2.61      3.19
   13   30     -0.30     -2.90
   13   31     -0.83     -1.13
   13   32      5.22      4.39
   13   33     -6.94     -1.72
   13   34     -0.39     -7.33
   13   35     -3.06     -3.45
   13   36     -1.12     -4.18
   13   37     -2.04     -3.16
   13   38     -0.66     -2.70
   14    8 -20000.00 -20000.00
   14    9     17.64 -20000.00
   14   10     21.86     39.50
   14   11     14.69     36.55
   14   12     19.62     34.31
   14   13     12.44     32.07
   14   14     16.44     28.89
   14   15      7.35     23.80
   14   16     10.16     17.52
   14   17      6.10     16.27
   14   18      9.87     15.97
   14   19      5.06     14.93
   14   20      8.29     13.35
   14   21      3.32     11.61
   14   22      6.68     10.01
   14   23      2.65      9.33
   14   24      5.85      8.50
   14   25      1.46      7.31
   14   26      4.13      5.59
   14   27      3.12      7.25
   14   28      4.98      8.10
   14   29     -1.68      3.30
   14   30      1.52     -0.16
   14   31     -1.20      0.32
   14   32      4.24      3.03
   14   33     -4.86     -0.62
   14   34      0.67     -4.20
   14   35     -2.58     -1.91
   14   36      0.31     -2.27
   14   37     -2.90     -2.59
   14   38      0.90     -2.00
   14   39     -2.27     -1.37
   14   40     -0.17     -2.43
   15    8 -20000.00 -20000.00
   15    9     19.95 -20000.00
   15   10     21.33     41.28
   15   11     17.21     38.54
   15   12     18.41     35.62
   15   13     15.63     34.03
   15   14     17.46     33.09
   15   15      9.60     27.07
   15   16     12.59     22.19
   15   17      7.88     20.47
   15   18     10.32     18.20
   15   19      6.85     17.18
   15   20      8.75     15.60
   15   21      5.03     13.78
   15   22      7.09     12.12
   15   23      3.83     10.92
   15   24      6.29     10.12
   15   25      3.01      9.30
   15   26      5.20      8.21
   15   27      1.97      7.17
